ID_number,Age,Gender,Neuter_status,Breed_group,Weaning_age,Outdoors,Other_cats,Activity_level,Contact_people,Aggression_stranger,Aggression_owner,Aggression_cats,Shyness_novel,Shyness_strangers,Grooming,Wool_sucking,Behaviour_problem,Aggression_component,Shyness_component,Extraversion_component
1,4.0274,2,1,BEN,8,0,1,4,5,1,1,1,2,1,1,0,1,-0.392731154,-0.364198316,0.666318189
2,2.1096,2,1,BEN,8,0,1,5,4,1,1,1,3,3,1,0,1,-0.633625686,1.419776604,0.994083248
3,7.6822,1,1,BUR,4,0,1,4,5,1,1,1,2,1,4,3,2,-0.392731154,-0.364198316,0.666318189
4,5.0027,1,1,BUR,4,4,0,5,5,1,1,2,1,1,1,0,1,0.090309407,-0.780989477,1.33044881
5,5.0137,1,1,EUR,4,5,1,4,5,1,1,1,2,1,1,0,1,-0.392731154,-0.364198316,0.666318189
6,4.0082,2,1,BUR,4,0,1,3,3,1,1,2,2,2,1,0,1,-0.083164871,-0.076349352,-1.218302407
7,1.2192,1,1,BEN,6,1,1,5,5,1,1,1,4,3,3,0,1,-0.678079249,1.975424683,1.716064655
8,5.8767,2,0,BRI,6,1,1,3,4,1,1,2,2,2,1,0,1,-0.055601378,-0.080140936,-0.599994656
9,1.263,2,1,SBI,4,1,1,5,4,1,1,1,3,2,1,0,1,-0.567834045,0.903955677,0.940285461
10,11.0493,2,1,BEN,4,1,1,4,5,1,1,1,1,1,1,,1,-0.320714098,-0.923637979,0.562644532
11,2.4575,2,1,ORI,4,4,1,4,3,1,1,2,4,4,1,0,2,-0.368512967,2.263273647,-0.16855594
12,7.9616,2,1,EUR,4,5,1,4,5,1,1,1,1,1,1,0,1,-0.320714098,-0.923637979,0.562644532
13,7.6466,2,1,MCO,4,0,1,4,5,1,1,1,4,4,1,0,1,-0.734140189,2.302143793,1.035058862
14,0.9863,1,0,BUR,4,4,1,5,5,1,1,1,1,2,1,3,1,-0.396236441,-0.218715236,1.351245899
15,3.9041,1,1,ABY,5,1,1,5,5,1,1,3,2,1,1,0,1,0.439046559,-0.268003128,1.467123165
16,3.5233,1,1,HCS,3,3,1,4,5,1,1,1,4,4,1,0,1,-0.734140189,2.302143793,1.035058862
17,8.7699,2,1,MCO,4,0,1,3,4,1,1,1,1,1,1,0,1,-0.338546889,-1.108948212,-0.790466798
18,3.5233,2,1,HCS,3,3,1,3,5,1,1,1,3,3,2,0,1,-0.58660079,1.037781385,0.142783839
19,2.8658,1,1,ABY,6,0,1,4,3,1,1,2,1,1,1,0,1,0.044913124,-0.962508125,-0.64097027
20,8.3644,2,1,BEN,4,1,1,4,3,1,1,2,1,1,4,0,1,0.044913124,-0.962508125,-0.64097027
21,2.9726,1,1,BEN,5,1,0,5,5,1,1,1,1,1,1,0,1,-0.3304448,-0.734536162,1.297448112
22,2.5479,1,1,ABY,2,3,1,4,4,1,1,1,1,2,2,0,1,-0.414069232,-0.404025468,-0.001865431
23,4.1534,2,1,BEN,4,4,1,3,5,1,1,2,3,3,3,0,1,-0.165846583,0.99132807,0.175784538
24,4.3836,2,1,BEN,4,1,1,4,1,1,1,1,1,1,1,0,1,-0.430968068,-0.908471642,-1.91058647
25,3.9178,2,1,RAG,4,4,1,3,3,1,1,2,2,2,1,4,1,-0.083164871,-0.076349352,-1.218302407
26,2.9726,1,1,BEN,8,4,1,4,4,1,1,2,4,2,3,0,2,-0.209366192,1.227840209,0.342156236
27,4.1342,1,1,ABY,3,5,1,3,3,1,1,1,2,1,1,0,1,-0.438127437,-0.545716964,-1.305100892
28,13.6164,2,1,HCS,1,5,1,2,3,4,2,4,4,4,1,1,2,4.654136085,1.147679706,-1.65796125
29,4.1836,1,1,ORI,4,5,1,4,4,1,1,1,2,2,4,4,1,-0.486086287,0.155414196,0.101808225
30,3.2986,1,1,ABY,5,0,1,4,5,1,1,3,2,2,2,0,1,0.38298562,0.058715982,0.786117372
31,6.1123,2,1,SBI,3,2,0,3,4,1,1,2,2,1,3,1,1,0.010190263,-0.595961863,-0.653792443
32,2.0082,2,0,BRI,5,1,1,4,3,1,1,2,2,2,1,0,1,-0.092895573,0.112752465,-0.483498827
33,7.6329,2,1,ORI,4,0,1,5,5,1,1,1,2,1,2,4,1,-0.402461856,-0.175096499,1.401121768
34,3.7589,1,1,ORI,4,5,1,5,5,1,1,1,3,4,4,4,2,-0.671853835,1.931805946,1.666188785
35,2.0466,2,1,BEN,8,4,1,5,5,1,1,2,4,4,1,0,2,-0.323116683,2.444792295,1.80286314
36,0.8575,1,1,ABY,5,3,1,5,5,1,1,1,1,1,1,5,1,-0.3304448,-0.734536162,1.297448112
37,4.8658,2,1,ABY,4,1,1,4,5,1,1,3,3,1,2,2,1,0.376760205,0.102334719,0.835993242
38,4.8658,2,1,ABY,4,2,1,3,4,1,1,2,2,2,2,2,1,-0.055601378,-0.080140936,-0.599994656
39,3.5918,1,1,ABY,8,5,1,3,4,1,1,1,2,3,1,0,1,-0.542147227,0.482133306,-0.579197568
40,0.8712,2,0,BRI,4,5,1,4,4,1,1,1,2,2,1,0,1,-0.486086287,0.155414196,0.101808225
41,1.5671,2,1,ABY,4,0,1,4,4,1,1,2,2,1,3,0,1,0.000459561,-0.406860046,0.081011137
42,12.7342,2,1,ABY,8,3,0,2,3,1,1,2,3,3,1,0,1,-0.211242866,0.809809422,-1.795634543
